Ruler,PinPointer
1,1
2,1.89
3,2.85
4,3.91
5,4.93
6,5.92
7,6.93
8,7.88
9,8.89
10,9.94
11,10.89
12,11.91
13,12.87
14,13.85
15,14.9
16,15.91
17,16.86
18,17.86
19,18.9
20,19.91
21,20.88
22,21.85
23,22.87
24,23.84
25,24.87
26,25.83
27,26.88
28,27.87
29,28.9
30,29.83
31,30.82
32,31.86
33,32.84
34,33.84
35,34.85
36,35.85
37,36.92
38,37.86
39,38.84
40,39.84
41,40.86
42,41.83
43,42.85
44,43.86
45,44.85
46,45.8
47,46.91
48,47.86
49,48.85
50,49.92
51,50.84
52,51.86
53,52.86
54,53.92
55,54.91
56,55.9
57,56.95
58,57.92
59,58.91
60,59.96
61,60.96
62,61.98
63,62.95
64,63.97
65,65.01
66,65.95
67,67.01
68,67.98
69,69
70,70.01
71,70.98
72,71.99
73,73
74,74.04
75,74.99
76,76.01
77,77.06
78,77.98
79,78.99
80,80.06
81,81.02
82,82.01
83,83.04
84,84.03
85,85.03
86,86.06
87,87.08
88,88.07
89,89.07
90,90.07
91,91.02
92,92.08
93,93.14
94,94.06
95,95.09
96,96.14
97,97.13
98,98.14
99,99.12
100,100.16
101,101.26
102,102.24
103,103.22
104,104.31
105,105.23
106,106.36
107,107.37
108,108.36
109,109.43
110,110.44
111,111.38
112,112.47
113,113.49
114,114.51
115,115.5
116,116.54
117,117.58
118,118.53
119,119.59
120,120.54
121,121.64
122,122.67
123,123.71
124,124.71
125,125.78
